央视频道,#genre#
CCTV1綜合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV2財經,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV3綜藝,http://39.135.138.60:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV4中文國際,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV5體育,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+體育賽事,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV6電影,http://39.135.138.60:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV7國防軍事,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV8電視劇,http://39.135.138.60:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9紀錄,http://39.135.138.60:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV10科教,http://39.135.138.58:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV11戲曲,http://39.135.138.58:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV12社會與法,http://39.135.138.60:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV13新聞,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14少兒,http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV15音樂,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV17農業農村,http://39.135.138.60:18890/PLTV/88888910/224/3221225908/index.m3u8
CCTV-3蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3蓝光2,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-5+蓝光3,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6蓝光1,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6蓝光2,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-8蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
爱上4K,http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
CCTV2 HD,http://117.169.120.160:8080/live/cctv-2/1.m3u8
CCTV-4高清@1,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV-4高清@IVI,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-11高清,http://117.169.120.140:8080/live/cctv-11/.m3u8
CCTV-13高清@1,http://117.169.120.140:8080/live/cctv-13/.m3u8
CCTV-15高清,http://117.169.120.140:8080/live/cctv-15/.m3u8
欢笑剧场4K1,http://223.110.243.212/PLTV/3/224/3221227715/index.m3u8
爱上4K频道,http://111.20.105.60:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
欢笑剧场4K2,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影5.1@IVI,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
冬奥纪实,http://117.169.120.160:8080/live/HD-8000k-1080P-beijingjishi/1.m3u8
